K_cycles_per_s,analysis,condition,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,delta_intervention_mean_R2,delta_intervention_mean_R4,frequency_hz,phase_offset_deg,post_driver_recovery_mean_R1,replicate,test_driver_locking_plv,test_lock_fraction,test_longest_lock_run_s,test_mean_R1
,external_driver_phase_disruption,,0.2150173766476026,0.20141569958719696,0.016548008634419298,-0.015638874574546352,7.83,0,,0,,,,
,external_driver_phase_disruption,,0.2347004811375157,0.21893291244340513,0.10487437811036925,-0.02291493868166638,7.83,0,,1,,,,
,external_driver_phase_disruption,,0.12048308569661298,0.10917841803289052,0.047607178685057094,0.02946031263370756,7.83,0,,2,,,,
,external_driver_phase_disruption,,0.1876723686328115,0.1816980155900042,0.02870652184778799,-0.02044493904913386,7.83,0,,3,,,,
,external_driver_phase_disruption,,0.20066633695174035,0.17986388857644828,-0.0330262418406158,-0.012120472446731895,7.83,0,,4,,,,
,external_driver_phase_disruption,,0.15428476248696246,0.1488829845723394,0.05253799586046633,-0.021094023179055038,7.83,0,,5,,,,
,external_driver_phase_disruption,,0.12147626568569408,0.11273808965521298,0.028884153050040634,0.00029020822011616154,7.83,0,,6,,,,
,external_driver_phase_disruption,,0.27002179342411137,0.19185997545919944,0.008899921893612758,0.01597631308487535,7.83,0,,7,,,,
,external_driver_phase_disruption,,0.22249005375779163,0.21697199483969026,0.15634359718797736,-0.011810754823577768,7.83,0,,8,,,,
,external_driver_phase_disruption,,0.10227668566287565,0.08397781522275408,-0.0012696627483932688,0.010445277674723127,7.83,0,,9,,,,
,external_driver_phase_disruption,,0.12040502934027597,0.11485355330299019,0.03916598219472542,0.032203238436256915,7.83,0,,10,,,,
,external_driver_phase_disruption,,0.2048011642980039,0.18919422263718305,0.026942668542085366,0.003874705183032831,7.83,0,,11,,,,
,external_driver_phase_disruption,,0.1280960163376258,0.12234405533586973,0.05715625473373227,-0.007408452544935565,7.83,0,,12,,,,
,external_driver_phase_disruption,,0.15226423067121242,0.1506834814425576,0.10779493010697183,0.023289566694522215,7.83,0,,13,,,,
,external_driver_phase_disruption,,0.15918192792438696,0.10628979191135482,-0.01939649707336749,-0.014919460850583321,7.83,0,,14,,,,
,external_driver_phase_disruption,,0.1754392321291825,0.1688405754502202,0.15452923014384237,-0.01587891155853835,7.83,0,,15,,,,
,external_driver_phase_disruption,,0.2062546975087342,0.19415432962105889,0.059826126302496854,-0.013877986317086366,7.83,0,,16,,,,
,external_driver_phase_disruption,,0.18299025387222131,0.1724896748788693,0.05153981231297444,-0.02932466628285979,7.83,0,,17,,,,
,external_driver_phase_disruption,,0.17085667240324534,0.14728009089347405,0.003418862816642776,-0.004005757670287782,7.83,0,,18,,,,
,external_driver_phase_disruption,,0.14086730646073334,0.10919286638001646,0.007193076125592154,-0.021346849338459484,7.83,0,,19,,,,
,external_driver_phase_disruption,,0.1105415381625921,0.10766063858405595,0.07321004749048102,0.04343038333127762,7.83,0,,20,,,,
