K_cycles_per_s,analysis,ci95_halfwidth,ci95_high,ci95_low,condition,mean,metric,n,phase_offset_deg,sd,sem
,internal_closed_loop_phase_disruption,0.0019945868440521355,0.00018452360273566479,-0.003804650085368606,,-0.0018100632413164707,delta_intervention_mean_R2,24,180,0.004723565650486041,0.0009641938008523758
,internal_closed_loop_phase_disruption,0.0009020591588784012,0.0008718721792079578,-0.0009322461385488446,,-3.018697967044337e-05,delta_intervention_mean_R4,24,180,0.0021362497553267584,0.0004360601553079974
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,210,nan,nan
,internal_closed_loop_phase_disruption,0.004106797175059833,-0.09324960669258078,-0.10146320104270046,,-0.09735640386764062,delta_intervention_mean_R1,24,210,0.009725686363305163,0.001985247415703519
,internal_closed_loop_phase_disruption,0.002133336577222566,0.0008479408024854105,-0.0034187323519597216,,-0.0012853957747371557,delta_intervention_mean_R2,24,210,0.005052151731143464,0.0010312661537016828
,internal_closed_loop_phase_disruption,0.000982445271201704,0.00023862960103708183,-0.0017262609413663263,,-0.0007438156701646222,delta_intervention_mean_R4,24,210,0.0023266195454809246,0.0004749192260011988
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,240,nan,nan
,internal_closed_loop_phase_disruption,0.003978083607712347,-0.05355099535662019,-0.06150716257204488,,-0.057529078964332535,delta_intervention_mean_R1,24,240,0.00942086785550886,0.0019230265983487258
,internal_closed_loop_phase_disruption,0.00210778333533791,0.0009810846523122159,-0.0032344820183636044,,-0.0011266986830256941,delta_intervention_mean_R2,24,240,0.004991636734774737,0.001018913581794203
,internal_closed_loop_phase_disruption,0.0012765421204321116,0.0013695435607351003,-0.001183540680129123,,9.300144030298857e-05,delta_intervention_mean_R4,24,240,0.0030230975048555603,0.0006170871941314262
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,270,nan,nan
,internal_closed_loop_phase_disruption,0.004350767018391048,0.013624699814423491,0.004923165777641395,,0.009273932796032443,delta_intervention_mean_R1,24,270,0.010303453922110772,0.002103183724787454
,internal_closed_loop_phase_disruption,0.0017472118401829048,0.0025504733539948063,-0.0009439503263710034,,0.0008032615138119014,delta_intervention_mean_R2,24,270,0.004137734015954811,0.0008446114192038631
,internal_closed_loop_phase_disruption,0.0010693632185550174,0.0009198251085224731,-0.0012189013285875618,,-0.00014953811003254433,delta_intervention_mean_R4,24,270,0.002532457978514394,0.000516935820200036
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,300,nan,nan
,internal_closed_loop_phase_disruption,0.005657345533522817,0.075466379736314,0.06415168866926836,,0.06980903420279118,delta_intervention_mean_R1,24,300,0.013397683392310848,0.0027347906705434966
