k_base_cycles_per_s,transient_boost_cycles_per_s,driver_increment_mean_R1_post_mean,transient_increment_mean_R1_post_mean,both_increment_mean_R1_post_mean,both_minus_best_single_mean_R1_post_mean,both_minus_best_single_mean_R2_post_mean,both_minus_best_single_mean_R4_post_mean,both_minus_best_single_lock_fraction_post_mean,both_minus_best_single_time_to_sustained_lock_post_s_mean,synergy_mean_R1_post_mean,synergy_mean_R2_post_mean,synergy_mean_R4_post_mean,synergy_lock_fraction_post_mean,synergy_time_to_sustained_lock_post_s_mean,driver_only_driver_locking_plv_post_mean,transient_plus_driver_driver_locking_plv_post_mean,both_minus_driver_only_driver_locking_plv_post_mean,strict_subthreshold_ignition_candidate_mean
0.8,0.2,0.1229287345737165,0.0029808802682810783,0.12871923679130018,0.005684091526223196,-0.0018834660157018984,-0.006002625024865528,0.0014853395061728396,,0.002809621949302586,0.0009601334819411373,0.00019120334155954403,0.0014853395061728396,,0.2781340430092614,0.2839968847612692,0.0058628417520077995,0.03472222222222222
0.8,0.3,0.1229287345737165,0.004893540314547257,0.1323739932727688,0.009256103214650856,-0.0006168994712072352,-0.006042816961927554,0.007689043209876544,,0.004551718384505056,0.0022184758711167947,0.0003823507665914712,0.007588734567901235,,0.2781340430092614,0.2874663049817403,0.009332261972478918,0.09722222222222221
0.8,0.45,0.1229287345737165,0.007295531745242005,0.1375827778716779,0.014315920279709356,0.0018657497784161415,-0.006261166555959176,0.01538966049382716,,0.007358511552719427,0.004556824906047229,0.0003812956879625632,0.015123456790123455,,0.2781340430092614,0.2926486839437033,0.014514640934441927,0.1597222222222222
0.8,0.6,0.1229287345737165,0.011441686771320006,0.14408036395370108,0.02062385715296136,0.004378683955750165,-0.007062524022184848,0.030474537037037036,,0.009709942608664588,0.006698137829824715,-0.000715324022297798,0.0298070987654321,,0.2781340430092614,0.2987403293411836,0.020606286331922224,0.3333333333333333
0.95,0.0,0.1605991223256987,0.0,0.1605991223256987,-0.0004131898220094044,-0.0026174024591381928,-0.0071921965432320155,0.0,-2.0675,0.0,0.0,0.0,0.0,0.0,0.366535972820923,0.366535972820923,0.0,0.0
0.95,0.1,0.1605991223256987,0.0014337917371636856,0.1643135971792555,0.0032195700023158785,-0.0004820224255054693,-0.008390612229758433,0.006311728395061729,-1.0695000000000001,0.0022806831163931264,0.0028019386087053334,-0.0002556661759984522,0.005945216049382717,0.02799999999999998,0.366535972820923,0.3698955133559993,0.00335954053507633,0.06944444444444445
0.95,0.2,0.1605991223256987,0.0034549917121477554,0.16780974927141434,0.006595458229898617,0.0011450172963423935,-0.008155986119040228,0.0157908950617284,-2.6879166666666667,0.003755635233567896,0.004402316777187792,-3.602937951772112e-05,0.01395447530864198,-0.6304166666666667,0.366535972820923,0.3737803346296087,0.007244361808685755,0.10416666666666667
0.95,0.3,0.1605991223256987,0.006119530335438613,0.1715167502001815,0.010344303667883904,0.003230336837934678,-0.008088363773071275,0.025127314814814814,-1.9580000000000002,0.00479809753904419,0.005526207165350706,0.0004193705205693802,0.023094135802469138,1.2639999999999998,0.366535972820923,0.37745075671512884,0.010914783894205955,0.125
0.95,0.45,0.1605991223256987,0.011843534729998523,0.17747695625156693,0.016176290062537364,0.006911106293159905,-0.008098616544736037,0.0434375,-1.985,0.005034299195869742,0.007150870254811082,0.0002926749888321849,0.03619212962962962,1.2710000000000001,0.366535972820923,0.38378076079504897,0.017244787974126093,0.22916666666666666
0.95,0.6,0.1605991223256987,0.018206299352275836,0.18359894418606007,0.021656779068351426,0.011329863615856639,-0.007821132302209238,0.05277391975308641,-1.98,0.00479352250808557,0.009489166411530532,0.00048275141873335643,0.03886188271604938,1.6475,0.366535972820923,0.38970882106329024,0.0231728482423673,0.24305555555555555
