time_s,condition,network,replicate,k_base_cycles_per_s,transient_boost_cycles_per_s,phase_offset_deg,R1,R2,R4,PCI,transient_profile,driver_phase_rad,population_phase_rad
0.0,sham,network_10_00Hz,0,0.8,0.6,0.0,0.0943336212182075,0.05749588048576074,0.13289959210531577,0.0,0.0,0.0,-0.49237751525602963
0.025,sham,network_10_00Hz,0,0.8,0.6,0.0,0.0856878012664397,0.06313635113330579,0.1274721424148743,0.0,0.0,1.5707963267948966,1.0295629570458913
0.05,sham,network_10_00Hz,0,0.8,0.6,0.0,0.07739009491164156,0.06312732350139864,0.12465340659878367,0.0,0.0,3.141592653589793,2.563533082617357
0.075,sham,network_10_00Hz,0,0.8,0.6,0.0,0.07430531457198139,0.062105953075542876,0.11524612436923974,0.0,0.0,4.71238898038469,-2.347582427312366
0.1,sham,network_10_00Hz,0,0.8,0.6,0.0,0.0708114424866003,0.05237531829232037,0.08904270030687,0.0,0.0,6.283185307179586,-0.9099481871135111
0.125,sham,network_10_00Hz,0,0.8,0.6,0.0,0.06866824424444722,0.0399389928131299,0.04620329977304107,0.0,0.0,7.853981633974483,0.4774032149156865
0.15,sham,network_10_00Hz,0,0.8,0.6,0.0,0.06215669379803244,0.038250653903093165,0.011819452120641614,0.0,0.0,9.42477796076938,1.8772112010839554
0.17500000000000002,sham,network_10_00Hz,0,0.8,0.6,0.0,0.06263320992275577,0.04416819935849855,0.02708161659411137,0.0,0.0,10.995574287564278,-3.0911830447918716
0.2,sham,network_10_00Hz,0,0.8,0.6,0.0,0.06692391808303665,0.04595659541028791,0.04288510823927436,0.0,0.0,12.566370614359172,-1.6940452097959424
0.225,sham,network_10_00Hz,0,0.8,0.6,0.0,0.07063949248473306,0.05059685131299793,0.07968805534204132,0.0,0.0,14.137166941154069,-0.3259089209014261
0.25,sham,network_10_00Hz,0,0.8,0.6,0.0,0.07576598467473059,0.06291136512522454,0.07893103969189653,0.0,0.0,15.707963267948966,1.0733017839291854
0.275,sham,network_10_00Hz,0,0.8,0.6,0.0,0.08642141188998294,0.08251858649515949,0.0718188187420509,0.0,0.0,17.278759594743864,2.6159986800514465
0.3,sham,network_10_00Hz,0,0.8,0.6,0.0,0.09229372476473735,0.09478657630622708,0.0562086352415615,0.0,0.0,18.84955592153876,-2.137307933814638
0.325,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10048213460839071,0.110266554605491,0.08587220121338611,0.0,0.0,20.420352248333657,-0.6261320036693753
0.35000000000000003,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10364282229642353,0.1240639039566702,0.11533261659669952,0.0,0.0,21.991148575128555,0.9027568631768584
0.375,sham,network_10_00Hz,0,0.8,0.6,0.0,0.1037764975686187,0.13034605305991068,0.15791695127149039,0.0,0.0,23.561944901923447,2.4469770472360155
0.4,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10274941705043668,0.13090196504619026,0.18026832370126544,0.0,0.0,25.132741228718345,-2.276999838118422
0.425,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10167929299835585,0.12287208217584417,0.15676988927492466,0.0,0.0,26.70353755551324,-0.6224548877455068
0.45,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10319094188958704,0.10897632952336259,0.16180407645809108,0.0,0.0,28.274333882308138,0.9622066125285116
0.47500000000000003,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10895713156428707,0.08562059525992056,0.1556943374726688,0.0,0.0,29.845130209103036,2.5750151795001543
0.5,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10641418160932875,0.059122182936562094,0.1424060355984829,0.0,0.0,31.41592653589793,-2.059926321624049
0.525,sham,network_10_00Hz,0,0.8,0.6,0.0,0.10951059556047178,0.03712830683367792,0.1500368309721906,0.0,0.0,32.98672286269283,-0.40018219424339574
0.55,sham,network_10_00Hz,0,0.8,0.6,0.0,0.11523393785238345,0.032767910150403985,0.1448888294768231,0.0,0.0,34.55751918948773,1.2891228552494218
0.5750000000000001,sham,network_10_00Hz,0,0.8,0.6,0.0,0.1193106981455936,0.041921460661236636,0.12387137982722587,0.0,0.0,36.128315516282626,2.9804407654840785
0.6,sham,network_10_00Hz,0,0.8,0.6,0.0,0.1202878464839796,0.05137953001282494,0.10182392570495576,0.0,0.0,37.69911184307752,-1.5889600519945324
0.625,sham,network_10_00Hz,0,0.8,0.6,0.0,0.12753051031028295,0.06103850655328015,0.09854542810991085,0.0,0.0,39.269908169872416,0.10201050955240207
0.65,sham,network_10_00Hz,0,0.8,0.6,0.0,0.1366724573931701,0.06813362293221703,0.11726275085190617,0.0,0.0,40.840704496667314,1.7747417436249915
0.675,sham,network_10_00Hz,0,0.8,0.6,0.0,0.14834538741861683,0.06741456555802265,0.1349541373707829,0.0,0.0,42.41150082346221,-2.846595069937946
0.7000000000000001,sham,network_10_00Hz,0,0.8,0.6,0.0,0.16020882895711988,0.06008100770932508,0.10850201759033146,0.0,0.0,43.98229715025711,-1.175955222141283
0.725,sham,network_10_00Hz,0,0.8,0.6,0.0,0.17165359570181235,0.060071724797191584,0.09092321289510981,0.0,0.0,45.553093477052,0.4534908589010075
0.75,sham,network_10_00Hz,0,0.8,0.6,0.0,0.17706118646919497,0.04889250108211339,0.1176428044201628,0.0,0.0,47.12388980384689,2.0872190681471254
0.775,sham,network_10_00Hz,0,0.8,0.6,0.0,0.18487356716767225,0.0399223022821247,0.1549652767357146,0.0,0.0,48.69468613064179,-2.5677111776967725
0.8,sham,network_10_00Hz,0,0.8,0.6,0.0,0.19115643909616473,0.044458240285633374,0.14239544618981037,0.0,0.0,50.26548245743669,-0.9572406770442131
0.8250000000000001,sham,network_10_00Hz,0,0.8,0.6,0.0,0.19910196011602227,0.0546367510321854,0.12880501399603939,0.0,0.0,51.83627878423159,0.6571900568841359
0.85,sham,network_10_00Hz,0,0.8,0.6,0.0,0.20299802152326107,0.06687740290466554,0.1261738481043906,0.0,0.0,53.40707511102648,2.2684085608242577
