analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,7,0.8137987926220361,0.9046496524945792,0.09085085987254304,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,8,0.8489780062648895,0.9191044419956981,0.07012643573080857,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,9,0.8417636013392301,0.9141664265746222,0.0724028252353921,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,10,0.8149957574063729,0.9022432427668388,0.08724748536046589,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,11,0.8654183577673992,0.9220004375801609,0.056582079812761754,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,12,0.8453866707623913,0.9130065971365183,0.06761992637412706,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,13,0.8477727341448101,0.9182302440939584,0.07045750994914823,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,14,0.8368425169999265,0.9098158017383392,0.07297328473841269,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,15,0.8932818874235067,0.9321637303440414,0.03888184292053476,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,16,0.8428582125729083,0.9127522463372968,0.06989403376438852,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,17,0.8274375937769405,0.9178598266886797,0.09042223291173923,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,18,0.8968003886930874,0.9375963581063845,0.040795969413297106,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,19,0.810849543504147,0.9064571719286312,0.09560762842448423,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,20,0.9165174206995079,0.9422070440813266,0.025689623381818683,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,21,0.8250615590121292,0.8917465410674518,0.06668498205532258,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,22,0.7580741779989026,0.9019387996339203,0.14386462163501768,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,23,0.7339637870846512,0.8728249352721157,0.13886114818746453,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,0,0.8233447993732563,0.8993814951791756,0.07603669580591932,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,1,0.8723019739867941,0.9206352202510371,0.04833324626424296,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,2,0.8323857703284225,0.8953699515165133,0.0629841811880908,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,3,0.877104500169186,0.9278195917115032,0.05071509154231724,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,4,0.8230706899116785,0.89587620253096,0.07280551261928148,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,5,0.9003698531264324,0.9366091825881242,0.03623932946169184,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,6,0.8623578184331547,0.9077041126589033,0.04534629422574854,,,,,,,,,,,,
