analysis,condition,network,network_frequency_hz,delta_mean_R_mean,delta_mean_R_sd,delta_mean_R_sem,delta_mean_R_ci95_low,delta_mean_R_ci95_high,delta_mean_R_ci95_halfwidth,delta_mean_R_ci_method,n_blocks,delta_lock_fraction_R_ge_0_55_mean,delta_strong_lock_fraction_R_ge_0_70_mean,coupling_multiplier,forcing_multiplier,coupling_strength_K_cycles_per_s,jitter_level,forcing_strength_cycles_per_s,natural_frequency_sd_hz
condition_comparison,HIGH_JITTER_MATCHED,network_10_00Hz,10.0,0.019072250725057208,0.016554275041168846,0.003379127242712889,0.012081993437844853,0.026062508012269562,0.0069902572872123534,student_t,24,0.0004375,0.0,,,,,,
condition_comparison,HIGH_JITTER_MATCHED,network_14_30Hz,14.3,0.013501274929288473,0.017352554402279823,0.0035420753349559592,0.006173933830954228,0.020828616027622718,0.0073273410983342455,student_t,24,0.0,0.0,,,,,,
condition_comparison,HIGH_JITTER_MATCHED,network_20_80Hz,20.8,0.00829397621999166,0.015913400723746602,0.0032483093204679755,0.0015743364232104545,0.015013616016772865,0.006719639796781206,student_t,24,0.0,0.0,,,,,,
condition_comparison,HIGH_JITTER_MATCHED,network_27_30Hz,27.3,0.00545017964511882,0.015461754982884155,0.003156117519666786,-0.001078746881316769,0.01197910617155441,0.006528926526435589,student_t,24,0.0,0.0,,,,,,
condition_comparison,HIGH_JITTER_MATCHED,network_33_80Hz,33.8,0.005191921001295582,0.019124240147884067,0.003903719173397023,-0.0028835373756909265,0.01326737937828209,0.008075458376986509,student_t,24,0.0,0.0,,,,,,
condition_comparison,HIGH_JITTER_MATCHED,network_7_83Hz,7.83,0.024177622672080522,0.02274676106109101,0.004643163158390187,0.014572507868059316,0.03378273747610173,0.009605114804021207,student_t,24,0.0,0.0,,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,network_10_00Hz,10.0,4.7119197172548526e-05,0.008716354047387399,0.0017792183194618395,-0.003633474319979176,0.003727712714324273,0.0036805935171517245,student_t,24,0.0,0.0,,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,network_14_30Hz,14.3,-0.0007413436933613049,0.010151748373387911,0.0020722169593274586,-0.005028051076713473,0.0035453636899908628,0.0042867073833521676,student_t,24,0.0,0.0,,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,network_20_80Hz,20.8,-0.0010578728922884563,0.013615302186672541,0.002779211920928981,-0.006807110783485536,0.004691364998908623,0.00574923789119708,student_t,24,0.0,0.0,,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,network_27_30Hz,27.3,0.0006257495605466642,0.006730759976688994,0.0013739106270029362,-0.0022164011140385666,0.003467900235131895,0.002842150674585231,student_t,24,0.0,0.0,,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,network_33_80Hz,33.8,0.0009017510117016875,0.009267582209444444,0.0018917372968695026,-0.003011605744380968,0.004815107767784343,0.0039133567560826555,student_t,24,0.0,0.0,,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,network_7_83Hz,7.83,0.00010565369356430622,0.008851291638755041,0.0018067623399594152,-0.0036319189712112664,0.0038432263583398785,0.0037375726647755725,student_t,24,0.0,0.0,,,,,,
condition_comparison,LOW_JITTER_MATCHED,network_10_00Hz,10.0,0.08604567035353126,0.032023604774769426,0.0065367909518950105,0.07252328800317527,0.09956805270388726,0.01352238235035599,student_t,24,0.000875,0.0,,,,,,
condition_comparison,LOW_JITTER_MATCHED,network_14_30Hz,14.3,0.058723262577802395,0.025564391352680994,0.00521830953324059,0.04792836684834197,0.06951815830726281,0.01079489572946042,student_t,24,0.0,0.0,,,,,,
condition_comparison,LOW_JITTER_MATCHED,network_20_80Hz,20.8,0.05793961642870806,0.036520840652526504,0.007454785381348549,0.04251821791554072,0.07336101494187541,0.015421398513167347,student_t,24,0.0,0.0,,,,,,
condition_comparison,LOW_JITTER_MATCHED,network_27_30Hz,27.3,0.03657992307266986,0.029707077951499194,0.006063931894188132,0.02403572421069478,0.04912412193464494,0.012544198861975078,student_t,24,0.002416666666666667,0.0,,,,,,
condition_comparison,LOW_JITTER_MATCHED,network_33_80Hz,33.8,0.028256440078237938,0.02219804643352815,0.00453115725406266,0.018883027140615738,0.03762985301586014,0.0093734129376222,student_t,24,0.0,0.0,,,,,,
condition_comparison,LOW_JITTER_MATCHED,network_7_83Hz,7.83,0.08834621969392,0.05964172856826457,0.012174316864151878,0.06316172646123924,0.11353071292660075,0.02518449323268075,student_t,24,0.0019375000000000002,0.0,,,,,,
condition_comparison,NEAR_DETUNED,network_10_00Hz,10.0,0.0017585162402067543,0.0043100178032113795,0.0008797787000149301,-6.144466306370801e-05,0.0035784771434772167,0.0018199609032704624,student_t,24,0.0,0.0,,,,,,
condition_comparison,NEAR_DETUNED,network_14_30Hz,14.3,0.0023836190788470942,0.004991583879243936,0.0010189027927041574,0.0002758580624424166,0.004491380095251771,0.0021077610164046776,student_t,24,0.0,0.0,,,,,,
condition_comparison,NEAR_DETUNED,network_20_80Hz,20.8,0.0038927766312418393,0.006426510861533848,0.0013118060364343204,0.0011790990905783346,0.006606454171905344,0.0027136775406635047,student_t,24,0.0,0.0,,,,,,
condition_comparison,NEAR_DETUNED,network_27_30Hz,27.3,0.0034693398133404402,0.004382856588379242,0.0008946468547770523,0.0016186217885684256,0.005320057838112455,0.0018507180247720146,student_t,24,0.0,0.0,,,,,,
condition_comparison,NEAR_DETUNED,network_33_80Hz,33.8,0.0029442104689798732,0.005904443235585985,0.0012052394285344493,0.00045098275276497964,0.005437438185194767,0.0024932277162148936,student_t,24,0.0,0.0,,,,,,
condition_comparison,NEAR_DETUNED,network_7_83Hz,7.83,0.004022841139160172,0.007786180295452888,0.001589347397431029,0.000735025549864766,0.007310656728455578,0.0032878155892954062,student_t,24,0.0,0.0,,,,,,
condition_comparison,SHARED_IRREGULAR_FORCING,network_10_00Hz,10.0,0.0001338175262404831,0.015324439714229589,0.0031280881578253797,-0.006337125847506691,0.006604760899987657,0.006470943373747174,student_t,24,0.0,0.0,,,,,,
condition_comparison,SHARED_IRREGULAR_FORCING,network_14_30Hz,14.3,0.004768827880995569,0.01323351433574669,0.0027012798021988052,-0.0008191951396942518,0.01035685090168539,0.005588023020689821,student_t,24,0.0,0.0,,,,,,
condition_comparison,SHARED_IRREGULAR_FORCING,network_20_80Hz,20.8,0.004864801910179143,0.01750876441447735,0.0035739615701724493,-0.0025285008913033067,0.012258104711661593,0.00739330280148245,student_t,24,0.0,0.0,,,,,,
condition_comparison,SHARED_IRREGULAR_FORCING,network_27_30Hz,27.3,0.003572734752020794,0.0138834256789832,0.0028339423996134945,-0.002289721760428882,0.009435191264470469,0.005862456512449676,student_t,24,0.0,0.0,,,,,,
condition_comparison,SHARED_IRREGULAR_FORCING,network_33_80Hz,33.8,0.0031828312170217965,0.008590803150344679,0.001753590349919892,-0.0004447468058973907,0.006810409239940984,0.003627578022919187,student_t,24,0.0,0.0,,,,,,
