condition,network,network_frequency_hz,stimulus_plv_mean,stimulus_plv_sd,stimulus_plv_sem,stimulus_plv_ci95_low,stimulus_plv_ci95_high,stimulus_plv_ci95_halfwidth,stimulus_plv_ci_method,n_blocks
HIGH_JITTER_MATCHED,network_14_30Hz,14.3,0.021656166826853288,0.009685323223983381,0.001977008324390583,0.017566413510740897,0.02574592014296568,0.004089753316112391,student_t,24
HIGH_JITTER_MATCHED,network_20_80Hz,20.8,0.015550710074724505,0.0077664512642598785,0.0015853202258025016,0.012271225324666915,0.018830194824782095,0.0032794847500575894,student_t,24
HIGH_JITTER_MATCHED,network_27_30Hz,27.3,0.015909392326997677,0.007766866555603503,0.0015854049967930412,0.012629732214785364,0.01918905243920999,0.003279660112212312,student_t,24
HIGH_JITTER_MATCHED,network_33_80Hz,33.8,0.008921418723005491,0.0068959173282312864,0.0014076232302152763,0.006009528215218015,0.011833309230792967,0.002911890507787476,student_t,24
HIGH_JITTER_MATCHED,network_7_83Hz,7.83,0.034121134504885374,0.015019112176459019,0.003065763435162192,0.02777911964299266,0.040463149366778084,0.0063420148618927134,student_t,24
INDEPENDENT_IRREGULAR_FORCING,network_10_00Hz,10.0,0.007187169142274571,0.0030187879147602127,0.0006162075027369134,0.005912446802140538,0.008461891482408604,0.0012747223401340328,student_t,24
INDEPENDENT_IRREGULAR_FORCING,network_14_30Hz,14.3,0.008054126398361167,0.002437688661149868,0.0004975911142987883,0.007024780752890084,0.00908347204383225,0.0010293456454710831,student_t,24
INDEPENDENT_IRREGULAR_FORCING,network_20_80Hz,20.8,0.006972255683325681,0.0032203389560099024,0.0006573489367526121,0.00561242580261152,0.008332085564039842,0.0013598298807141608,student_t,24
INDEPENDENT_IRREGULAR_FORCING,network_27_30Hz,27.3,0.0063408683081886364,0.002581506236578137,0.0005269477539524127,0.0052507938266817536,0.007430942789695519,0.0010900744815068829,student_t,24
INDEPENDENT_IRREGULAR_FORCING,network_33_80Hz,33.8,0.006912852891766588,0.0030450772960274484,0.0006215738002167642,0.00562702951951109,0.008198676264022087,0.0012858233722554985,student_t,24
INDEPENDENT_IRREGULAR_FORCING,network_7_83Hz,7.83,0.005619360274393338,0.0022907726578521178,0.0004676020107047435,0.0046520518163017215,0.006586668732484955,0.000967308458091617,student_t,24
LOW_JITTER_MATCHED,network_10_00Hz,10.0,0.17803212477310448,0.04524494559724097,0.009235585846102056,0.15892685982588703,0.19713738972032194,0.019105264947217464,student_t,24
LOW_JITTER_MATCHED,network_14_30Hz,14.3,0.11989701904968415,0.030893412574956487,0.006306091435160398,0.10685187501034121,0.1329421630890271,0.013045144039342938,student_t,24
LOW_JITTER_MATCHED,network_20_80Hz,20.8,0.09719901127322149,0.029759366176310365,0.006074605183383408,0.0846327330303244,0.10976528951611858,0.012566278242897086,student_t,24
LOW_JITTER_MATCHED,network_27_30Hz,27.3,0.0728427145295379,0.022124994075875603,0.004516245503999657,0.06350014889716821,0.0821852801619076,0.0093425656323697,student_t,24
LOW_JITTER_MATCHED,network_33_80Hz,33.8,0.04964532548805626,0.014197469746373686,0.0028980463764347363,0.0436502597960972,0.05564039118001532,0.005995065691959064,student_t,24
LOW_JITTER_MATCHED,network_7_83Hz,7.83,0.18048626684847294,0.0626682607006285,0.01279210514868764,0.15402378117935955,0.20694875251758632,0.026462485669113384,student_t,24
NEAR_DETUNED,network_10_00Hz,10.0,0.03701782659336499,0.003997580167564096,0.0008160026347001427,0.035329796532970546,0.03870585665375944,0.0016880300603944452,student_t,24
NEAR_DETUNED,network_14_30Hz,14.3,0.03709033605427101,0.004209494709210976,0.0008592595093760286,0.035312822330875356,0.03886784977766667,0.0017775137233956594,student_t,24
NEAR_DETUNED,network_20_80Hz,20.8,0.0350394577111017,0.003140541419403339,0.0006410603328011836,0.03371332337491476,0.03636559204728864,0.0013261343361869364,student_t,24
NEAR_DETUNED,network_27_30Hz,27.3,0.0372528397158913,0.004020293853216059,0.0008206390463689164,0.03555521850721321,0.03895046092456939,0.0016976212086780894,student_t,24
NEAR_DETUNED,network_33_80Hz,33.8,0.036745988909740165,0.0036414431351377776,0.0007433064673706837,0.0352083423291401,0.03828363549034023,0.0015376465806000632,student_t,24
NEAR_DETUNED,network_7_83Hz,7.83,0.03713157086407121,0.0043973775930979874,0.000897610942453175,0.035274721156770036,0.03898842057137239,0.0018568497073011751,student_t,24
SHARED_IRREGULAR_FORCING,network_10_00Hz,10.0,0.010110897491195002,0.0052564450963861024,0.001072967362258391,0.00789129539152793,0.012330499590862075,0.002219602099667073,student_t,24
SHARED_IRREGULAR_FORCING,network_14_30Hz,14.3,0.008624501017659237,0.005011614303699576,0.0010229914859747977,0.00650828189480358,0.010740720140514894,0.0021162191228556566,student_t,24
SHARED_IRREGULAR_FORCING,network_20_80Hz,20.8,0.010375019630283765,0.005479045327008965,0.0011184054440627137,0.008061421696889337,0.012688617563678194,0.0023135979333944283,student_t,24
SHARED_IRREGULAR_FORCING,network_27_30Hz,27.3,0.009623601738199405,0.0042340654216957195,0.0008642749850597165,0.007835712712860814,0.011411490763537997,0.001787889025338592,student_t,24
SHARED_IRREGULAR_FORCING,network_33_80Hz,33.8,0.010518051256614197,0.005453356313000814,0.0011131616960364488,0.008215300842481421,0.012820801670746973,0.0023027504141327755,student_t,24
SHARED_IRREGULAR_FORCING,network_7_83Hz,7.83,0.006852094831363374,0.0033058207811027273,0.0006747978412325504,0.0054561691416033144,0.008248020521123434,0.0013959256897600602,student_t,24
