contrast,mean,sd,sem,ci95_low,ci95_high,ci95_halfwidth,n_blocks,ci_method,cohen_dz
CLEAN_MATCHED_minus_LOW_JITTER_MATCHED,0.05160848204490592,0.02489247272693817,0.005081154718095422,0.04109731266760117,0.062119651422210674,0.010511169377304749,24,student_t,2.073256546709246
CLEAN_MATCHED_minus_HIGH_JITTER_MATCHED,0.0983091332135788,0.027362916143865806,0.005585431868919627,0.08675478707046112,0.10986347935669648,0.011554346143117677,24,student_t,3.592787139232514
CLEAN_MATCHED_minus_NEAR_DETUNED,0.10784512018375482,0.026955640379408487,0.0055022970516260955,0.0964627515131222,0.11922748885438744,0.011382368670632616,24,student_t,4.000836881105526
CLEAN_MATCHED_minus_FAR_DETUNED,0.11078861936190249,0.02733110868120597,0.005578939197792192,0.09924770433232452,0.12232953439148045,0.01154091502957796,24,student_t,4.053572090841871
CLEAN_MATCHED_minus_SHARED_IRREGULAR_FORCING,0.10729815109867906,0.028749421839949746,0.005868451158991966,0.09515833494725784,0.11943796725010028,0.012139816151421215,24,student_t,3.7321846573477604
CLEAN_MATCHED_minus_INDEPENDENT_IRREGULAR_FORCING,0.11094349459949494,0.026887442480103108,0.005488376213723772,0.09958992337613237,0.12229706582285751,0.011353571223362564,24,student_t,4.126219690905667
LOW_JITTER_MATCHED_minus_HIGH_JITTER_MATCHED,0.04670065116867287,0.012980489393267753,0.0026496313020929335,0.04121947121079379,0.05218183112655195,0.00548117995787908,24,student_t,3.5977573536552376
