condition,stimulus_plv_mean,stimulus_plv_sd,stimulus_plv_sem,stimulus_plv_ci95_low,stimulus_plv_ci95_high,stimulus_plv_ci95_halfwidth,stimulus_plv_ci_method,n_blocks
CLEAN_MATCHED,0.2478388826362361,0.031246363539540356,0.006378137249114866,0.2346447004755574,0.2610330647969148,0.013194182160678683,student_t,24
FAR_DETUNED,0.010132752209622177,0.00020406766174988758,4.165513702417473e-05,0.01004658199340407,0.010218922425840285,8.617021621810734e-05,student_t,24
HIGH_JITTER_MATCHED,0.0206785255909936,0.004569495635521666,0.0009327443907419018,0.018748996808509687,0.022608054373477515,0.001929528782483914,student_t,24
INDEPENDENT_IRREGULAR_FORCING,0.0068477721163849965,0.0013202141205122895,0.00026948757887269734,0.006290294585436587,0.007405249647333406,0.000557477530948409,student_t,24
LOW_JITTER_MATCHED,0.11635041032701286,0.014127866145204929,0.0028838386008410996,0.1103847356581627,0.12231608499586302,0.005965674668850162,student_t,24
NEAR_DETUNED,0.036713003308073394,0.001059560788205304,0.00021628194021367932,0.036265590026454166,0.03716041658969262,0.0004474132816192254,student_t,24
SHARED_IRREGULAR_FORCING,0.009350694327552497,0.002177063718030006,0.0004443912705583258,0.008431400943708227,0.010269987711396767,0.0009192933838442711,student_t,24
