mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.19940981782484185,0.37943325463754135,0.0,0.0,0.1512374112705531,network_10_00Hz,10.0,3,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.15346457422199278,0.36157845426036067,0.0,0.0,0.038927453995300176,network_10_00Hz,10.0,3,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.15162358292012937,0.35086582336926003,0.0,0.0,,network_10_00Hz,10.0,3,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.15182629973138947,0.3548430751292976,0.0,0.0,0.010937977675087194,network_10_00Hz,10.0,3,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2250678233592352,0.40638809444151014,0.0,0.0,0.20742834866026286,network_10_00Hz,10.0,4,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1312263840043662,0.3577283066883917,0.0,0.0,0.010115735799237241,network_10_00Hz,10.0,4,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.11899176903820605,0.27815816539315036,0.0,0.0,0.005505280106698499,network_10_00Hz,10.0,4,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.12946749253798862,0.44311591179367055,0.0,0.0,0.009507593167992566,network_10_00Hz,10.0,4,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.20750369743468197,0.36688507206558946,0.0,0.0,0.13075062738692525,network_10_00Hz,10.0,4,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.13259512901368353,0.4043116549137329,0.0,0.0,0.03209365430573502,network_10_00Hz,10.0,4,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.13136113682581105,0.35740951046626623,0.0,0.0,,network_10_00Hz,10.0,4,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.12602529773414592,0.4125572286247976,0.0,0.0,0.006049246032754465,network_10_00Hz,10.0,4,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.341145572722564,0.5242543943586097,0.0,0.0,0.33261127052524214,network_10_00Hz,10.0,5,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.20121641383750338,0.4227277611578403,0.0,0.0,0.011310348368468545,network_10_00Hz,10.0,5,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.21822128211838454,0.38498389118263493,0.0,0.0,0.02284014749002396,network_10_00Hz,10.0,5,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.20359471415752683,0.4155769969708211,0.0,0.0,0.0037740475136260384,network_10_00Hz,10.0,5,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.28168344788136807,0.5513824004746087,0.0015,0.0,0.20373002511231172,network_10_00Hz,10.0,5,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2036992680175886,0.44113604622080677,0.0,0.0,0.038975946737820844,network_10_00Hz,10.0,5,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.20087525378838375,0.4194325368181562,0.0,0.0,,network_10_00Hz,10.0,5,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
